Name,Wikipage,Award,Field,Research Topic,Year,Gender,Status
Peter W. Higgs,https://en.wikipedia.org/wiki/Peter_Higgs,Nobel,Physics,"Theoretical physics, Subatomic particles",2013,male,alive
Martin Karplus,https://en.wikipedia.org/wiki/Martin_Karplus,Nobel,Chemistry,"Quantum chemistry, Nuclear magnetic resonance spectroscopy",2013,male,alive
Michael Levitt,https://en.wikipedia.org/wiki/Michael_Levitt,Nobel,Chemistry,"Computational Structural Biology, Structure Determination, Simulation of Mesoscale Molecular Dynamics",2013,male,alive
Arieh Warshel,https://en.wikipedia.org/wiki/Arieh_Warshel,Nobel,Chemistry,"Chemistry, Biochemistry, Biophysics",2013,male,alive
James E. Rothman,https://en.wikipedia.org/wiki/James_Rothman,Nobel,Physiology or Medicine,Cell biology,2013,male,alive
Randy W. Schekman,https://en.wikipedia.org/wiki/Randy_Schekman,Nobel,Physiology or Medicine,Biochemistry,2013,male,alive
Thomas C. Südhof,https://en.wikipedia.org/wiki/Thomas_C._S%C3%BCdhof,Nobel,Physiology or Medicine,"Biochemistry, Neuroscience",2013,male,alive
Eugene F. Fama,https://en.wikipedia.org/wiki/Eugene_Fama,Nobel,Economics,"Financial economics, Organizational economics, Macroeconomics",2013,male,alive
Lars Peter Hansen,https://en.wikipedia.org/wiki/Lars_Peter_Hansen,Nobel,Economics,Macroeconomics,2013,male,alive
Robert J. Shiller,https://en.wikipedia.org/wiki/Robert_J._Shiller,Nobel,Economics,"Financial economics, Behavioral finance",2013,male,alive
Daniel J. Klionsky,https://de.wikipedia.org/wiki/Daniel_J._Klionsky,Citation Laureate,Physiology or Medicine,Molecular biology,2013,male,alive
Noboru Mizushima,https://de.wikipedia.org/wiki/Noboru_Mizushima,Citation Laureate,Physiology or Medicine,Autophagy,2013,male,alive
Yoshinori Ohsumi,https://en.wikipedia.org/wiki/Yoshinori_Ohsumi,Citation Laureate,Physiology or Medicine,"Cell biology, Autophagy",2013,male,alive
