First_Name Middle_Name,Family_Name,Institution,Category
Steven E,Nissen,1,Clinical Medicine
Brian I,Rini,1,Clinical Medicine
Vinod,Labhasetwar,1,Pharmacology & Toxicology
Serena,Sanna,1,Molecular Biology & Genetics
Vincenzo,Di Marzo,1,Pharmacology & Toxicology
Manuela,Uda,1,Molecular Biology & Genetics
Bernard,Henrissat,1,Biology & Biochemistry
Bernard,Henrissat,1,Plant & Animal Science
Wolfgang,Wernsdorfer,1,Chemistry
Jerome,Chave,1,Environment/Ecology
Alberto,Bianco,1,Chemistry
Sandrine,Bony,1,Geosciences
Eric,Garnier,1,Environment/Ecology
Michel,Loreau,1,Environment/Ecology
Thomas R,Gingeras,1,Molecular Biology & Genetics
Gregory J,Hannon,1,Molecular Biology & Genetics
Stanislas,Dehaene,1,Psychiatry/Psychology
Jean-Marie,Tarascon,1,Materials Science
Xiong,Gong,1,Materials Science
Tomislav,Rovis,1,Chemistry
Susanne E,Bauer,1,Geosciences
Gavin A,Schmidt,1,Geosciences
Greg,Faluvegi,1,Geosciences
J John,Mann,1,Psychiatry/Psychology
Rene,Hen,1,Neuroscience & Behavior
Robyn J,Barst,1,Clinical Medicine
Linda P,Fried,1,"Social Sciences, general"
Sandro,Galea,1,"Social Sciences, general"
Deborah S,Hasin,1,Psychiatry/Psychology
Tony F,Heinz,1,Physics
James,Hone,1,Physics
Michele,Limon,1,Space Science
Shahid,Naeem,1,Environment/Ecology
Mark,Olfson,1,Psychiatry/Psychology
David E,Shaw,1,Biology & Biochemistry
Thomas Scott,Stroup,1,Psychiatry/Psychology
Jeffrey A,Lieberman,1,Psychiatry/Psychology
Frank J,Dentener,1,Geosciences
David B,Jaffe,1,Molecular Biology & Genetics
Muhammad Aslam,Noor,1,Mathematics
Gianni,Tognoni,1,Clinical Medicine
Lasse,Pedersen,1,Economics & Business
Borge Gronne,Nordestgaard,1,Clinical Medicine
Daniel C,Ralph,1,Physics
Lynden A,Archer,1,Materials Science
Dale E,Bauman,1,Agricultural Sciences
David P,Calfee,1,"Social Sciences, general"
Lewis C,Cantley,1,Biology & Biochemistry
Lewis C,Cantley,1,Molecular Biology & Genetics
James J,Giovannoni,1,Plant & Animal Science
Chang Yong,Lee,1,Agricultural Sciences
Johannes,Lehmann,1,Agricultural Sciences
Michal,Lipson,1,Physics
Rui Hai,Liu,1,Agricultural Sciences
Natalie M,Mahowald,1,Geosciences
Paul,McEuen,1,Physics
Mark A,Rubin,1,Clinical Medicine
Mark E,Sorrells,1,Agricultural Sciences
Roberto,Solano,1,Plant & Animal Science
Avelino,Corma,1,Chemistry
Fernando,Valladares,1,Environment/Ecology
Miguel B,Araujo,1,Environment/Ecology
Andres,Alastuey,1,Geosciences
Begona,Bartolome,1,Agricultural Sciences
Carmen,Gomez-Cordoves,1,Agricultural Sciences
Francisco,Guinea,1,Physics
Pedro,Jordano,1,Environment/Ecology
Fulgencio,Saura-Calixto,1,Agricultural Sciences
Alberto,Abad,1,Engineering
Kemal,Kazan,1,Plant & Animal Science
John M,Manners,1,Plant & Animal Science
Graeme,Moad,1,Chemistry
Ezio,Rizzardo,1,Chemistry
Brian,Walker,1,"Social Sciences, general"
Robert,Jin,1,Psychiatry/Psychology
Antonio,Colombo,1,Clinical Medicine
Michael P,Milham,1,Neuroscience & Behavior
Antonia M,Calafat,1,Environment/Ecology
Nancy J,Cox,1,Microbiology
Ruben O,Donis,1,Microbiology
Katherine M,Flegal,1,Clinical Medicine
Earl S,Ford,1,Clinical Medicine
Jacqueline M,Katz,1,Microbiology
Larry L,Needham,1,Environment/Ecology
Andreas,Sjoedin,1,Environment/Ecology
Terrence M,Tumpey,1,Microbiology
R N,Tharanathan,1,Agricultural Sciences
Roderic,Guigo,1,Molecular Biology & Genetics
Francis,Martin,1,Plant & Animal Science
Sven,Wunder,1,Economics & Business
Cornelia M,van Duijn,1,Molecular Biology & Genetics
Lydie,Bougueleret,1,Biology & Biochemistry
Alan,Bridge,1,Biology & Biochemistry
Edouard,De Castro,1,Biology & Biochemistry
Christian JA,Sigrist,1,Biology & Biochemistry
Nicolas,Hulo,1,Biology & Biochemistry
Andreas M,Zeiher,1,Clinical Medicine
Simon A,Wilde,1,Geosciences
Zheng-Xiang,Li,1,Geosciences
Xian-Hua,Li,1,Geosciences
Phillip J,Bowman,1,Agricultural Sciences
Xiaojun,Peng,1,Chemistry
George D,Demetri,1,Clinical Medicine
Richard D,Gelber,1,Clinical Medicine
Matthew L,Meyerson,1,Clinical Medicine
Jeffrey A,Engelman,1,Clinical Medicine
Keith T,Flaherty,1,Clinical Medicine
Pasi A,Jaenne,1,Clinical Medicine
Bruce E,Johnson,1,Clinical Medicine
Shuji,Ogino,1,Clinical Medicine
Paul G,Richardson,1,Clinical Medicine
Eric P,Winer,1,Clinical Medicine
Anne,Tjonneland,1,"Social Sciences, general"
Alvaro,Avezum,1,Clinical Medicine
Rafael,La Porta,1,Economics & Business
Jonathan D,Cohen,1,Neuroscience & Behavior
Kylie,Ball,1,"Social Sciences, general"
Michael,Berk,1,Psychiatry/Psychology
David A,Crawford,1,"Social Sciences, general"
Jo,Salmon,1,"Social Sciences, general"
Anna F,Timperio,1,"Social Sciences, general"
Unnur,Thorsteinsdottir,1,Molecular Biology & Genetics
